"Open Positions Summary"
"","Name","Symbol","Exchange","Type","Amount","Avg Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Weight","Daily P/L","Daily P/L%","Net P/L%","Net P/L","Next Earnings Date","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"

"Market Value","Rp0.00"
"Open P/L","Rp0.00 / 0.00%"
"Daily P/L","Rp0.00 / 0.00%"
"Total P/L","Rp56,907,145,156,576,296.00"


"Open Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Net P/L%","Weight","Daily P/L","Daily P/L%","Net P/L","Next Earnings Date"


"Closed Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Close Date","Close Price","Gain%","Net P/L"
"","BTC/USD","BTC/USD","Coinbase Pro","04/17/2021","BUY","2.00000000","61,344.6","04/17/2021","61,382.5","0.06%","Rp1,104,027.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","04/17/2021","SELL","1.00000000","919,001,200","04/17/2021","919,001,000","0.00%","Rp200.00"
"","Ethereum","ETH/USD","Investing.com","04/17/2021","BUY","1.00000000","2,442.72","04/17/2021","2,451.18","0.35%","Rp123,219.90"
"","ETH/XAU","ETH/XAU","Synthetic","04/17/2021","BUY","1.00000000","1.37389","04/17/2021","1.38031","23.36%","Rp1,661.29"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/17/2021","SELL","1.00000000","918,810,693","04/17/2021","918,809,760","0.00%","Rp933.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","04/17/2021","BUY","1.00000000","919,001,000","04/17/2021","919,002,000","0.01%","Rp1,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/17/2021","SELL","1.00000000","918,810,696","04/17/2021","918,809,760","0.00%","Rp936.00"
"","BTC/USD","BTC/USD","Coinbase Pro","04/16/2021","SELL","1.00000000","61,967.5","04/16/2021","61,946.1","0.03%","Rp311,691.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/16/2021","BUY","1.00000000","924,495,538","04/16/2021","924,698,841","0.02%","Rp203,303.00"
"","BTC/USD","BTC/USD","Coinbase Pro","04/16/2021","BUY","1.00000000","61,789.7","04/16/2021","61,888.8","0.16%","Rp1,443,391.50"
"","Bitcoin","BTC/USD","Investing.com","04/16/2021","BUY","11000000000.00000000","61,753.2","04/16/2021","61,776.5","0.04%","Rp3,733,009,500,000,437.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/16/2021","SELL","100000000.00000000","916,395,923","04/16/2021","913,803,635","0.28%","Rp100,000,000,000,000.00"
