"Open Positions Summary"
"","Name","Symbol","Exchange","Type","Amount","Avg Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Weight","Daily P/L","Daily P/L%","Net P/L%","Net P/L","Next Earnings Date","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"

"Market Value","Rp0.00"
"Open P/L","Rp0.00 / 0.00%"
"Daily P/L","Rp0.00 / 0.00%"
"Total P/L","Rp13,066,218,001,659,260.00"


"Open Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Current Price","Extended Hours","Extended Hours (%)","Prev.","Market Value","Commission","Net P/L%","Weight","Daily P/L","Daily P/L%","Net P/L","Next Earnings Date"


"Closed Positions"
"","Name","Symbol","Exchange","Open Date","Type","Amount","Open Price","Close Date","Close Price","Gain%","Net P/L"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","04/17/2021","BUY","1000000.00000000","919,001,000","04/17/2021","919,000,000","-0.02%","-Rp1,000,000,000.00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","04/17/2021","BUY","1.00000000","919,000,000","04/17/2021","919,001,000","0.11%","Rp1,000.00"
"","BTC/USD","BTC/USD","BitStamp","04/17/2021","SELL","790000.00000000","61,496.3","04/17/2021","61,507.1","-0.44%","-Rp124,268,579,999.96"
"","BTC/USD","BTC/USD","Coinbase Pro","04/17/2021","SELL","790000.00000000","61,525.5","04/17/2021","61,485.0","3.29%","Rp466,007,175,000.00"
"","BTC/JPY","BTC/JPY","BTCBOX","04/17/2021","BUY","10000000000.00000000","6,660,000","04/17/2021","6,715,315","830.56%","Rp13,387,000,000,000,000.00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/17/2021","SELL","2000000000.00000000","51,233.9","04/17/2021","51,227.7","0.61%","Rp216,474,240,000,157.12"
"","BTC/USD","BTC/USD","Coinbase Pro","04/16/2021","SELL","1.00000000","61,958.4","04/16/2021","61,945.5","0.02%","Rp187,888.50"
"","BTC/USDT","BTC/USDT","Exmo","04/16/2021","BUY","1000000000.00000000","61,260.0","04/16/2021","61,259.5","-0.08%","-Rp7,295,608,500,000.00"
"","BTC/USD","BTC/USD","Coinbase Pro","04/16/2021","BUY","1000000000.00000000","61,457.4","04/16/2021","61,345.2","-9.13%","-Rp1,634,193,000,000,000.00"
"","BTC/USD","BTC/USD","Coinbase Pro","04/16/2021","BUY","10000000000.00000000","61,294.7","04/16/2021","61,325.9","5.09%","Rp4,544,280,000,000,582.00"
"","ETH/USD","ETH/USD","Binance","04/16/2021","SELL","100000000000.00000000","2,406.99","04/16/2021","2,405.68","54.42%","Rp1,908,014,999,999,854.50"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/15/2021","BUY","1000000000.00000000","703,449,054","04/16/2021","917,827,865","30.48%","Rp100,000,000,000,000.00"
"","Bitcoin","BTC/USD","Investing.com","04/16/2021","SELL","10000000000.00000000","61,301.6","04/16/2021","61,385.5","-0.14%","-Rp12,220,035,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/16/2021","BUY","1000000000.00000000","903,449,054","04/16/2021","918,577,942","1.67%","Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/16/2021","BUY","1000000000.00000000","903,449,054","04/16/2021","918,580,769","1.67%","Rp100,000,000,000,000.00"
"","Bitcoin IDR Index","BTC/IDR","Investing.com","04/16/2021","BUY","1000000000.00000000","903,449,054","04/16/2021","918,580,769","1.67%","Rp100,000,000,000,000.00"
